# NB lines starting with ** are unusual cases
SCH31,Chemistry AS Unit 3 Practical (1hr 15m),9.15 - 10.30,"Tuesday 09 May"
SPH31,Physics AS Unit 3 Practical (1hr),9.15 - 10.15,"Wednesday 10 May"
ACH31,Chemistry A2 Unit 3 Practical (1hr 15m),9.15 - 10.30,"Thursday 11 May"
APH31,Physics A2 Unit 3 Practical (1hr),9.15 - 10.15,"Friday 12 May"
SBY11,Biology AS Unit 1 (1hr 30m),1.30 - 3.00,"Friday 12 May"
SEC11,Economics AS Unit 1 (1hr 30m),9.15 - 10.45,"Monday 15 May"
SFM11,Further Mathematics AS Unit 1 (1hr 30m),1.30 - 3.00,"Monday 15 May"
SEP21,Spanish AS Unit 2 Section A (40m),9.15 - 9.55,"Monday 15 May"
SEP22,Spanish AS Unit 2 Section B & C (1hr 20m),10.10 - 11.30,"Monday 15 May"
SCH14,Chemistry AS Unit 1 (1hr 30m),9.15 - 10.45,"Tuesday 16 May"
SDT11,Digital Technology AS Unit 1 (1hr 30m),1.30 - 3.00,"Tuesday 16 May"
SMX21,Moving Image Arts AS Unit 2 (1hr 30m),9.15 - 10.45,"Tuesday 16 May"
SGG11,Geography AS Unit 1 (1hr 15m),1.30 - 2.45,"Tuesday 16 May"
SGM21,German AS Unit 2 Section A (40m),9.15 - 9.55,"Wednesday 17 May"
SHY11,History AS Unit 1 (1hr 30m),1.30 - 3.00,"Wednesday 17 May"
SGM22,German AS Unit 2 Section B & C (1hr 20m),10.10 - 11.30,"Wednesday 17 May"
SPH11,Physics AS Unit 1 (1hr 45m),9.15 - 11.00,"Wednesday 17 May"
SEL12,English Literature AS Unit 1 (2hrs),9.15 - 11.15,"Thursday 18 May"
SMT11,Mathematics AS Unit 1 (1hr 45m),1.30 - 3.15,"Thursday 18 May"
SNF11,Nutrition and Food Science AS Unit 1 (1hr 30m),1.30 - 3.00,"Thursday 18 May"
SBU11,Business Studies AS Unit 1 (1hr 30m),9.15 - 10.45,"Friday 19 May"
SRE11,Religious Studies AS Unit 1 (1hr 20m),1.30 - 2.50,"Friday 19 May"
SFR21,French AS Unit 2 Section A (40m),9.15 - 9.55,"Friday 19 May"
SRE21,Religious Studies AS Unit 2 (1hr 20m),1.30 - 2.50,"Friday 19 May"
SFR22,French AS Unit 2 Sections B & C (1hr 20m),10.10 - 11.30,"Friday 19 May"
SRE31,Religious Studies AS Unit 3 (1hr 20m),1.30 - 2.50,"Friday 19 May"
STE11,T & D Systems & Control AS Unit 1 Core (1hr),1.30 - 2.30,"Friday 19 May"
STE12,T & D Systems & Control AS Unit 1 Options (1hr),2.45 - 3.45,"Friday 19 May"
SEC21,Economics AS Unit 2 (1hr 30m),9.15 - 10.45,"Monday 22 May"
SEP31,Spanish AS Unit 3 (1hr),9.15 - 10.15,"Monday 22 May"
SDT21,Digital Technology AS Unit 2 (1hr 30m),1.30 - 3.00,"Monday 22 May"
SHC31,Health & Social Care AS Unit 3 (2hrs),1.30 - 3.30,"Monday 22 May"
AEC11,Economics A2 Unit 1 (2hrs),9.15 - 11.15,"Tuesday 23 May"
SFM21,Further Mathematics AS Unit 2 (1hr 30m),1.30 - 3.00,"Tuesday 23 May"
SAL21,Sports Science AS Unit 2 (2hrs),9.15 - 11.15,"Tuesday 23 May"
SHY21,History AS Unit 2 (1hr 30m),1.30 - 3.00,"Tuesday 23 May"
SCH24,Chemistry AS Unit 2 (1hr 30m),9.15 - 10.45,"Tuesday 23 May"
AGP11,Government & Politics A2 Unit 1 (2hrs 15m),9.15 - 11.30,"Wednesday 24 May"
AAL21,Sports Science A2 Unit 2 (2hrs),1.30 - 3.30,"Wednesday 24 May"
SGG21,Geography AS Unit 2 (1hr 15m),9.15 - 10.30,"Wednesday 24 May"
SPH21,Physics AS Unit 2 (1hr 45m),1.30 - 3.15,"Wednesday 24 May"
SIR21,Irish AS Unit 2 Section A (40m),9.15 - 9.55,"Wednesday 24 May"
SIR22,Irish AS Unit 2 Sections B & C (1hr 20m),10.10 - 11.30,"Wednesday 24 May"
APH11,Physics A2 Unit 1 (2hrs),9.15 - 11.15,"Thursday 25 May"
ABU11,Business Studies A2 Unit 1 (2hrs),1.30 - 3.30,"Thursday 25 May"
SBY21,Biology AS Unit 2 (1hr 30m),9.15 - 10.45,"Thursday 25 May"
SET11,Environmental Technology AS Unit 1 (1hr 30m),1.30 - 3.00,"Thursday 25 May"
SZ021,Life & Health Sciences AS Unit 2 (1hr 30m),9.15 - 10.45,"Thursday 25 May"
SRE41,Religious Studies AS Unit 4 (1hr 20m),1.30 - 2.50,"Thursday 25 May"
SRE51,Religious Studies AS Unit 5 (1hr 20m),1.30 - 2.50,"Thursday 25 May"
SRE61,Religious Studies AS Unit 6 (1hr 20m),1.30 - 2.50,"Thursday 25 May"
AFM11,Further Maths A2 Unit 1 (2hr 15m),9.15 - 11.30,"Friday 26 May"
AGG11,Geography A2 Unit 1 (1hr 30m),1.30 - 3.00,"Friday 26 May"
