Date,Series,Exam Board,Qualification,Code,Subject,Paper,Time,Length
5/15/2023,Jun-23,OCR ,A Level,H004/01 ,(Design and Technology: Design Engineering) ,Principles of Design Engineering - Written Paper ,Afternoon,1h 45m 
5/15/2023,Jun-23,OCR ,A Level,H005/01 ,(Design and Technology: Fashion and Textiles) ,Principles of Fashion and Textiles - Written Paper ,Afternoon,1h 45m 
5/15/2023,Jun-23,OCR ,A Level,H006/01 ,(Design and Technology: Product Design) ,Principles of Product Design - Written Paper ,Afternoon,1h 45m 
5/19/2023,Jun-23,OCR ,A Level,H007/01 ,(Ancient History) ,Relations between Greek states and between Greek and non-Greek states 492-404 BC - Written Paper ,Afternoon,1h 30m 
5/24/2023,Jun-23,OCR ,A Level,H007/02 ,(Ancient History) ,The Julio-Claudian emperors 31 BC-AD 68 - Written Paper ,Morning,1h 30m 
5/16/2023,Jun-23,OCR ,A Level,H008/11 ,(Classical Civilisation) ,The World of the Hero - Written Paper ,Afternoon,1h 30m 
5/23/2023,Jun-23,OCR ,A Level,H008/21 ,(Classical Civilisation) ,Greek Theatre - Written Paper ,Afternoon,1h 30m 
5/23/2023,Jun-23,OCR ,A Level,H008/22 ,(Classical Civilisation) ,Imperial Image - Written Paper ,Afternoon,1h 30m 
5/16/2023,Jun-23,OCR ,A Level,H009/01 ,(Media Studies) ,Media today - Written Paper ,Afternoon,2h 00m 
5/17/2023,Jun-23,OCR ,A Level,H010/01 ,(Film Studies) ,Elements of Film - Written Paper ,Afternoon,2h 00m 
5/15/2023,Jun-23,OCR ,A Level,H014/01 ,(Geology) ,Geology - Written Paper ,Morning,2h 30m 
5/19/2023,Jun-23,OCR ,A Level,H018/01 ,(Law) ,The legal system and criminal law - Written Paper ,Afternoon,1h 30m 
5/26/2023,Jun-23,OCR ,A Level,H018/02 ,(Law) ,Law making and the law of tort - Written Paper ,Morning,1h 30m 
5/15/2023,Jun-23,OCR ,A Level,H020/01 ,(Biology A) ,Breadth in biology - Written Paper ,Morning,1h 30m 
5/25/2023,Jun-23,OCR ,A Level,H020/02 ,(Biology A) ,Depth in biology - Written Paper ,Morning,1h 30m 
5/15/2023,Jun-23,OCR ,A Level,H022/01 ,(Biology B (Advancing Biology)) ,Foundations of biology - Written Paper ,Morning,1h 30m 
5/25/2023,Jun-23,OCR ,A Level,H022/02 ,(Biology B (Advancing Biology)) ,Biology in depth - Written Paper ,Morning,1h 30m 
5/19/2023,Jun-23,OCR ,A Level,H031/01 ,(Business) ,The local business environment - Written Paper ,Morning,1h 30m 
5/26/2023,Jun-23,OCR ,A Level,H031/02 ,(Business) ,The wider business environment - Written Paper ,Afternoon,1h 30m 
5/16/2023,Jun-23,OCR ,A Level,H032/01 ,(Chemistry A) ,Breadth in chemistry - Written Paper ,Morning,1h 30m 
5/23/2023,Jun-23,OCR ,A Level,H032/02 ,(Chemistry A) ,Depth in chemistry - Written Paper ,Morning,1h 30m 
5/16/2023,Jun-23,OCR ,A Level,H033/01 ,(Chemistry B (Salters)) ,Foundations of chemistry - Written Paper ,Morning,1h 30m 
5/23/2023,Jun-23,OCR ,A Level,H033/02 ,(Chemistry B (Salters)) ,Chemistry in depth - Written Paper ,Morning,1h 30m 
5/15/2023,Jun-23,OCR ,A Level,H043/01 ,(Latin) ,Language - Written Paper ,Afternoon,1h 30m 
5/22/2023,Jun-23,OCR ,A Level,H043/02 ,(Latin) ,Literature - Written Paper ,Afternoon,2h 00m 
5/18/2023,Jun-23,OCR ,A Level,H044/01 ,(Classical Greek) ,Language - Written Paper ,Morning,1h 30m 
5/24/2023,Jun-23,OCR ,A Level,H044/02 ,(Classical Greek) ,Literature - Written Paper ,Afternoon,2h 00m 
5/16/2023,Jun-23,OCR ,A Level,H046/01 ,(Computer Science) ,Computing principles - Written Paper ,Afternoon,1h 15m 
5/22/2023,Jun-23,OCR ,A Level,H046/02 ,(Computer Science) ,Algorithms and problem solving - Written Paper ,Afternoon,1h 15m 
5/15/2023,Jun-23,OCR ,A Level,H059/05 ,(Drama and Theatre) ,Exploring Performance - Written Paper ,Morning,2h 15m 
5/15/2023,Jun-23,OCR ,A Level,H060/01 ,(Economics) ,Microeconomics - Written Paper ,Morning,1h 30m 
5/22/2023,Jun-23,OCR ,A Level,H060/02 ,(Economics) ,Macroeconomics - Written Paper ,Morning,1h 30m 
5/15/2023,Jun-23,OCR ,A Level,H070/01 ,(English Language) ,Exploring language - Written Paper ,Morning,1h 30m 
5/22/2023,Jun-23,OCR ,A Level,H070/02 ,(English Language) ,Exploring contexts - Written Paper ,Morning,1h 30m 
5/18/2023,Jun-23,OCR ,A Level,H072/01 ,(English Literature) ,Shakespeare and poetry pre-1900 - Written Paper ,Morning,1h 30m 
5/26/2023,Jun-23,OCR ,A Level,H072/02 ,(English Literature) ,Drama and prose post-1900 - Written Paper ,Morning,1h 45m 
5/15/2023,Jun-23,OCR ,A Level,H074/01 ,(English Language and Literature (EMC)) ,Non-fiction written and spoken texts - Written Paper ,Morning,1h 30m 
5/22/2023,Jun-23,OCR ,A Level,H074/02 ,(English Language and Literature (EMC)) ,The language of literary texts - Written Paper ,Morning,1h 30m 
5/16/2023,Jun-23,OCR ,A Level,H081/01 ,(Geography) ,Landscape and place - Written Paper ,Afternoon,1h 45m 
5/24/2023,Jun-23,OCR ,A Level,H081/02 ,(Geography) ,Geographical debates - Written Paper ,Morning,1h 30m 
5/16/2023,Jun-23,OCR ,A Level,H143/03 ,(Music) ,Listening and appraising - Written Paper ,Morning,2h 00m 
5/16/2023,Jun-23,OCR ,A Level,H155/01 ,(Physical Education) ,Physiological factors affecting performance - Written Paper ,Morning,1h 15m 
5/23/2023,Jun-23,OCR ,A Level,H155/02 ,(Physical Education) ,Psychological and socio-cultural themes in physical education - Written Paper ,Morning,1h 15m 
5/17/2023,Jun-23,OCR ,A Level,H156/01 ,(Physics A) ,Breadth in physics - Written Paper ,Morning,1h 30m 
5/24/2023,Jun-23,OCR ,A Level,H156/02 ,(Physics A) ,Depth in physics - Written Paper ,Afternoon,1h 30m 
5/17/2023,Jun-23,OCR ,A Level,H157/01 ,(Physics B (Advancing Physics)) ,Foundations of physics - Written Paper ,Morning,1h 30m 
5/24/2023,Jun-23,OCR ,A Level,H157/02 ,(Physics B (Advancing Physics)) ,Physics in depth - Written Paper ,Afternoon,1h 30m 
5/15/2023,Jun-23,OCR ,A Level,H167/01 ,(Psychology) ,Research Methods - Written Paper ,Afternoon,1h 30m 
5/22/2023,Jun-23,OCR ,A Level,H167/02 ,(Psychology) ,Psychological themes through core studies - Written Paper ,Afternoon,1h 30m 
5/19/2023,Jun-23,OCR ,A Level,H173/01 ,(Religious Studies) ,Philosophy of religion - Written Paper ,Morning,1h 15m 
5/25/2023,Jun-23,OCR ,A Level,H173/02 ,(Religious Studies) ,Religion and ethics - Written Paper ,Morning,1h 15m 
06/05/2023,Jun-23,OCR ,A Level,H173/03 ,(Religious Studies) ,Developments in Christian thought - Written Paper ,Afternoon,1h 15m 
06/05/2023,Jun-23,OCR ,A Level,H173/04 ,(Religious Studies) ,Developments in Islamic thought - Written Paper ,Afternoon,1h 15m 
06/05/2023,Jun-23,OCR ,A Level,H173/05 ,(Religious Studies) ,Developments in Jewish thought - Written Paper ,Afternoon,1h 15m 
