5/23/2023,Jun-23,Pearson,A Level,9AA0 01,Arabic,"Paper 1: Translation into English, reading comprehension and writing (research question) in Arabic",Afternoon,2h 30m
6/6/2023,Jun-23,Pearson,A Level,9AA0 02,Arabic,Paper 2: Translation into Arabic and written response to works,Afternoon,2h 40m
6/13/2023,Jun-23,Pearson,A Level,9AA0 03,Arabic,"Paper 3: Listening, reading and writing in Arabic",Afternoon,2h 15m
5/15/2023,Jun-23,Pearson,AS Level,8BN0 01,Biology A (Salters Nuffield),"Paper 1: Lifestyle, Transport, Genes and Health",Morning,1h 30m
5/25/2023,Jun-23,Pearson,AS Level,8BN0 02,Biology A (Salters Nuffield),"Paper 2: Development, Plants and the Environment",Morning,1h 30m
6/7/2023,Jun-23,Pearson,A Level,9BN0 01,Biology A (Salters Nuffield),Paper 1: The Natural Environment and Species Survival,Afternoon,2h 00m
6/16/2023,Jun-23,Pearson,A Level,9BN0 02,Biology A (Salters Nuffield),"Paper 2: Energy, Exercise and Co-ordination",Morning,2h 00m
6/21/2023,Jun-23,Pearson,A Level,9BN0 03,Biology A (Salters Nuffield),Paper 3: General and Practical Applications in Biology,Morning,2h 00m
5/15/2023,Jun-23,Pearson,AS Level,8BI0 01,Biology B,Paper 1: Core Cellular Biology and Microbiology,Morning,1h 30m
5/25/2023,Jun-23,Pearson,AS Level,8BI0 02,Biology B,Paper 2: Core Physiology and Ecology,Morning,1h 30m
6/7/2023,Jun-23,Pearson,A Level,9BI0 01,Biology B,"Paper 1: Advanced Biochemistry, Microbiology and Genetics",Afternoon,1h 45m
6/16/2023,Jun-23,Pearson,A Level,9BI0 02,Biology B,"Paper 2: Advanced Physiology, Evolution and Ecology",Morning,1h 45m
6/21/2023,Jun-23,Pearson,A Level,9BI0 03,Biology B,Paper 3: General and Practical Principles in Biology,Morning,2h 30m
5/19/2023,Jun-23,Pearson,AS Level,8BS0 01,Business,Paper 1: Marketing and People,Morning,1h 30m
5/26/2023,Jun-23,Pearson,AS Level,8BS0 02,Business,Paper 2: Managing Business Activities,Afternoon,1h 30m
5/23/2023,Jun-23,Pearson,A Level,9BS0 01,Business,"Paper 1: Marketing, people and global businesses",Morning,2h 00m
6/7/2023,Jun-23,Pearson,A Level,9BS0 02,Business,"Paper 2: Business activities, decisions and strategy",Morning,2h 00m
6/14/2023,Jun-23,Pearson,A Level,9BS0 03,Business,Paper 3: Investigating business in a competitive environment,Morning,2h 00m
5/16/2023,Jun-23,Pearson,AS Level,8CH0 01,Chemistry,Paper 1: Core Inorganic and Physical Chemistry,Morning,1h 30m
5/23/2023,Jun-23,Pearson,AS Level,8CH0 02,Chemistry,Paper 2: Core Organic and Physical Chemistry,Morning,1h 30m
6/12/2023,Jun-23,Pearson,A Level,9CH0 01,Chemistry,Paper 1: Advanced Inorganic and Physical Chemistry,Morning,1h 45m
6/19/2023,Jun-23,Pearson,A Level,9CH0 02,Chemistry,Paper 2: Advanced Organic and Physical Chemistry,Afternoon,1h 45m
6/23/2023,Jun-23,Pearson,A Level,9CH0 03,Chemistry,Paper 3: General and Practical Principles in Chemistry,Morning,2h 30m
5/24/2023,Jun-23,Pearson,A Level,9CN0 01,Chinese,"Paper 1: Listening, Reading and Translation",Morning,2h 00m
6/7/2023,Jun-23,Pearson,A Level,9CN0 02,Chinese,Paper 2: Written response to works and translation,Afternoon,2h 40m
