Date,Series,Exam Board,Qualification,Code,Subject,Paper,Time,Length
5/15/2023,Jun-23,AQA,AS Level,7401/1,Biology ,Paper 1,Morning,1h 30m
5/15/2023,Jun-23,AQA,AS Level,7366/1,Further Mathematics ,Paper 1,Afternoon,1h 30m
5/15/2023,Jun-23,AQA,AS Level,7135/1,Economics ,Paper 1,Morning,1h 30m
5/15/2023,Jun-23,AQA,AS Level,7181/1,Psychology ,Paper 1,Afternoon,1h 30m
5/15/2023,Jun-23,AQA,AS Level,7701/1,English Language ,Paper 1,Morning,1h 30m
5/15/2023,Jun-23,AQA,Functional Skills,8361/2,Functional Skills Mathematics Level 1,Paper 1,Afternoon,1h 30m
5/15/2023,Jun-23,AQA,AS Level,7691/1,Spanish ,Paper 1,Morning,1h 45m
5/15/2023,Jun-23,AQA,Functional Skills,8362/2,Functional Skills Mathematics Level 2,Paper 1,Afternoon,1h 30m
5/15/2023,Jun-23,AQA,Functional Skills,8361/1,Functional Skills Mathematics Level 1,Paper 1,Morning,30m
5/15/2023,Jun-23,AQA,Functional Skills,8362/1,Functional Skills Mathematics Level 2,Paper 1,Morning,30m
5/16/2023,Jun-23,AQA,AS Level,7404/1,Chemistry ,Paper 1,Morning,1h 30m
5/16/2023,Jun-23,AQA,AS Level,7516/1A-1E,Computer Science (options A to E) ,Paper 1,Afternoon,1h 45m
5/16/2023,Jun-23,AQA,AS Level,7661/1,German ,Paper 1,Morning,1h 45m
5/16/2023,Jun-23,AQA,AS Level,7191/1,Sociology ,Paper 1,Morning,1h 30m
5/16/2023,Jun-23,AQA,AS Level,7036/1,Geography ,Paper 1,Afternoon,1h 30m
5/17/2023,Jun-23,AQA,A Level,7037/1,Geography ,Paper 1,Morning,2h 30m
5/17/2023,Jun-23,AQA,AS Level,7041/1A-1L,History ,Paper 1 (options A to L),Afternoon,1h 30m
5/17/2023,Jun-23,AQA,AS Level,7407/1,Physics ,Paper 1,Morning,1h 30m
5/17/2023,Jun-23,AQA,Level 3,1350/1,Level 3 Mathematical Studies ,Paper 1,Morning,1h 30m
5/18/2023,Jun-23,AQA,A Level,7136/1,Economics ,Paper 1,Morning,2h
5/18/2023,Jun-23,AQA,AS Level,7356/1,Mathematics ,Paper 1,Afternoon,1h 30m
5/18/2023,Jun-23,AQA,AS Level,7711/1,English Literature A ,Paper 1,Morning,1h 30m
5/18/2023,Jun-23,AQA,A Level,7172/1,Philosophy ,Paper 1,Afternoon,3h
5/18/2023,Jun-23,AQA,AS Level,7716/1A+1B,English Literature B ,Paper 1 (options A and B),Morning,1h 30m
5/18/2023,Jun-23,AQA,Functional Skills,8720W,Functional Skills English - Level 1,Paper 1,Afternoon,1h
5/18/2023,Jun-23,AQA,Functional Skills,8725W,Functional Skills English - Level 2,Paper 1,Afternoon,1h
5/18/2023,Jun-23,AQA,Functional Skills,8720R,Functional Skills English - Level 1,Paper 1,Morning,1h
5/18/2023,Jun-23,AQA,Functional Skills,8725R,Functional Skills English - Level 2,Paper 1,Morning,1h
5/19/2023,Jun-23,AQA,AS Level,7131/1,Business ,Paper 1,Morning,1h 30m
5/19/2023,Jun-23,AQA,AS Level,7366/2D+2M+2S,Further Mathematics ,Paper 2 (options D M and S),Afternoon,1h 30m
5/19/2023,Jun-23,AQA,AS Level,7651/1,French ,Paper 1,Morning,1h 45m
5/19/2023,Jun-23,AQA,A Level,7182/1,Psychology ,Paper 1,Morning,2h
5/19/2023,Jun-23,AQA,AS Level,7061/1,Religious Studies ,Paper 1,Morning,2h
5/22/2023,Jun-23,AQA,A Level,7637/1,Bengali ,Paper 1,Morning,2h 30m
5/22/2023,Jun-23,AQA,A Level,7677/1,Biblical Hebrew ,Paper 1,Afternoon,3h
5/22/2023,Jun-23,AQA,AS Level,7135/2,Economics ,Paper 2,Morning,1h 30m
5/22/2023,Jun-23,AQA,AS Level,7516/2,Computer Science ,Paper 2,Afternoon,1h 30m
5/22/2023,Jun-23,AQA,AS Level,7701/2,English Language ,Paper 2,Morning,1h 30m
5/22/2023,Jun-23,AQA,A Level,7136/2,Economics ,Paper 2,Afternoon,2h
5/22/2023,Jun-23,AQA,A Level,7447/1,Environmental Science ,Paper 1,Morning,3h
5/22/2023,Jun-23,AQA,A Level,7572/1,Media Studies ,Paper 1,Afternoon,2h
5/22/2023,Jun-23,AQA,A Level,7192/1,Sociology ,Paper 1,Morning,2h
5/22/2023,Jun-23,AQA,AS Level,7181/2,Psychology ,Paper 2,Afternoon,1h 30m
5/22/2023,Jun-23,AQA,AS Level,7691/2,Spanish ,Paper 2,Morning,1h 30m
5/23/2023,Jun-23,AQA,A Level,7132/1,Business ,Paper 1,Morning,2h
5/23/2023,Jun-23,AQA,AS Level,7041/2A-2S,History ,Paper 2 (options A to S),Afternoon,1h 30m
5/23/2023,Jun-23,AQA,AS Level,7404/2,Chemistry ,Paper 2,Morning,1h 30m
5/23/2023,Jun-23,AQA,A Level,7152/1,Politics ,Paper 1,Afternoon,2h
5/23/2023,Jun-23,AQA,A Level,7237/W,Dance,Paper 1,Morning,2h 30m
5/23/2023,Jun-23,AQA,AS Level,7661/2,German ,Paper 2,Morning,1h 30m
5/23/2023,Jun-23,AQA,AS Level,7191/2,Sociology ,Paper 2,Morning,1h 30m
5/24/2023,Jun-23,AQA,AS Level,7036/2,Geography ,Paper 2,Morning,1h 30m
5/24/2023,Jun-23,AQA,A Level,7707/1,English Language and Literature ,Paper 1,Afternoon,3h
5/24/2023,Jun-23,AQA,A Level,7042/1A-1L,History ,Paper 1 (options A to L),Morning,2h 30m
5/24/2023,Jun-23,AQA,A Level,7712/1,English Literature A ,Paper 1,Afternoon,3h
5/24/2023,Jun-23,AQA,A Level,7717/1A+1B,English Literature B ,Paper 1 (options A and B),Afternoon,2h 30m
5/24/2023,Jun-23,AQA,A Level,7582/1,Physical Education ,Paper 1,Afternoon,2h
5/24/2023,Jun-23,AQA,AS Level,7407/2,Physics ,Paper 2,Afternoon,1h 30m
5/24/2023,Jun-23,AQA,A Level,7408/1,Physics ,Paper 1,Afternoon,2h
5/24/2023,Jun-23,AQA,Level 3,1350/2A-2C,Level 3 Mathematical Studies ,Paper 2 (options A to C),Afternoon,1h 30m
5/25/2023,Jun-23,AQA,AS Level,7401/2,Biology ,Paper 2,Morning,1h 30m
5/25/2023,Jun-23,AQA,AS Level,7356/2,Mathematics ,Paper 2,Afternoon,1h 30m
5/25/2023,Jun-23,AQA,A Level,7702/1,English Language ,Paper 1,Morning,2h 30m
5/25/2023,Jun-23,AQA,A Level,7367/1,Further Mathematics ,Paper 1,Afternoon,2h
5/25/2023,Jun-23,AQA,AS Level,7651/2,French ,Paper 2,Morning,1h 30m
5/25/2023,Jun-23,AQA,A Level,7672/1,Modern Hebrew ,Paper 1,Afternoon,2h 30m
5/25/2023,Jun-23,AQA,A Level,7687/1,Polish ,Paper 1,Morning,2h 30m
5/25/2023,Jun-23,AQA,A Level,7682/1,Panjabi ,Paper 1,Afternoon,2h 30m
5/25/2023,Jun-23,AQA,AS Level,7061/2A-2E,Religious Studies ,Paper 2,Morning,1h
5/25/2023,Jun-23,AQA,A Level,7182/2,Psychology ,Paper 2,Afternoon,2h
5/26/2023,Jun-23,AQA,A Level,7127/1,Accounting ,Paper 1,Morning,3h
5/26/2023,Jun-23,AQA,AS Level,7131/2,Business ,Paper 2,Afternoon,1h 30m
5/26/2023,Jun-23,AQA,AS Level,7711/2,English Literature A ,Paper 2,Morning,1h 30m
5/26/2023,Jun-23,AQA,AS Level,7716/2A+2B,English Literature B ,Paper 2 (options A and B),Morning,1h 30m
5/26/2023,Jun-23,AQA,A Level,7162/1,Law ,Paper 1,Morning,2h
5/26/2023,Jun-23,AQA,A Level,7172/2,Philosophy ,Paper 2,Morning,3h
6/5/2023,Jun-23,AQA,A Level,7136/3,Economics ,Paper 3,Morning,2h
6/5/2023,Jun-23,AQA,A Level,7367/2,Further Mathematics ,Paper 2,Afternoon,2h
6/5/2023,Jun-23,AQA,A Level,7702/2,English Language ,Paper 2,Morning,2h 30m
6/5/2023,Jun-23,AQA,A Level,7682/2,Panjabi ,Paper 2,Afternoon,2h
6/5/2023,Jun-23,AQA,A Level,7687/2,Polish ,Paper 2,Afternoon,2h
6/5/2023,Jun-23,AQA,A Level,7182/3,Psychology ,Paper 3,Afternoon,2h
6/6/2023,Jun-23,AQA,A Level,7127/2,Accounting ,Paper 2,Morning,3h
6/6/2023,Jun-23,AQA,A Level,7162/2,Law ,Paper 2,Afternoon,2h
6/6/2023,Jun-23,AQA,A Level,7677/2,Biblical Hebrew ,Paper 2,Morning,2h
6/6/2023,Jun-23,AQA,A Level,7357/1,Mathematics ,Paper 1,Afternoon,2h
6/6/2023,Jun-23,AQA,A Level,7037/2,Geography ,Paper 2,Morning,2h 30m
6/6/2023,Jun-23,AQA,A Level,7572/2,Media Studies ,Paper 2,Afternoon,2h
6/6/2023,Jun-23,AQA,A Level,7662/1,German ,Paper 1,Morning,2h 30m
6/7/2023,Jun-23,AQA,Level 3,ABS1,Applied Business 1,Paper 1,Morning,1h 30m
6/7/2023,Jun-23,AQA,A Level,7637/2,Bengali ,Paper 2,Afternoon,2h
6/7/2023,Jun-23,AQA,A Level,7132/2,Business ,Paper 2,Morning,2h
6/7/2023,Jun-23,AQA,A Level,7402/1,Biology ,Paper 1,Afternoon,2h
6/7/2023,Jun-23,AQA,A Level,7672/2,Modern Hebrew ,Paper 2,Afternoon,2h
6/7/2023,Jun-23,AQA,A Level,7562/1,D&T: Fashion and Textiles,Paper 1,Afternoon,2h 30m
6/7/2023,Jun-23,AQA,A Level,7692/1,Spanish ,Paper 1,Morning,2h 30m
6/7/2023,Jun-23,AQA,A Level,7552/1,D&T: Product Design,Paper 1,Afternoon,2h 30m
6/7/2023,Jun-23,AQA,A Level,7262/W,Drama and Theatre,Paper 1,Afternoon,3h
6/7/2023,Jun-23,AQA,A Level,7152/2,Politics ,Paper 2,Afternoon,2h
6/8/2023,Jun-23,AQA,A Level,7707/2,English Language and Literature ,Paper 2,Morning,2h 30m
6/8/2023,Jun-23,AQA,A Level,7712/2A+2B,English Literature A ,Paper 2 (options A	and B),Morning,2h 30m
6/8/2023,Jun-23,AQA,A Level,7717/2A+2B,English Literature B ,Paper 2 (options A and B),Morning,3h
6/8/2023,Jun-23,AQA,A Level,7582/2,Physical Education ,Paper 2,Morning,2h
6/9/2023,Jun-23,AQA,A Level,7447/2,Environmental Science ,Paper 2,Morning,3h
6/9/2023,Jun-23,AQA,A Level,7042/2A-2T,History ,Paper 2 (options A to T),Afternoon,2h 30m
6/9/2023,Jun-23,AQA,A Level,7408/2,Physics ,Paper 2,Morning,2h
6/9/2023,Jun-23,AQA,A Level,7192/2,Sociology ,Paper 2,Morning,2h
6/12/2023,Jun-23,AQA,Level 3,ABS4,Applied Business 4,Paper 1,Morning,1h 30m
6/12/2023,Jun-23,AQA,Level 3,ASC1,Applied Science 1,Paper 1,Afternoon,1h 30m
6/12/2023,Jun-23,AQA,A Level,7405/1,Chemistry ,Paper 1,Morning,2h
6/12/2023,Jun-23,AQA,A Level,7517/1A-1E,Computer Science ,Paper 1 (options A to E),Afternoon,2h 30m
6/12/2023,Jun-23,AQA,A Level,7652/1,French ,Paper 1,Morning,2h 30m
6/12/2023,Jun-23,AQA,A Level,7162/3A+3B,Law (options A and B),Paper 1,Morning,2h
6/12/2023,Jun-23,AQA,A Level,7272/W,Music,Paper 1,Afternoon,2h 30m
6/12/2023,Jun-23,AQA,A Level,7062/1,Religious Studies ,Paper 1,Morning,3h
6/13/2023,Jun-23,AQA,A Level,7637/3,Bengali ,Paper 3,Morning,2h 30m
6/13/2023,Jun-23,AQA,A Level,7357/2,Mathematics ,Paper 2,Afternoon,2h
6/13/2023,Jun-23,AQA,A Level,7687/3,Polish ,Paper 3,Morning,2h 30m
6/14/2023,Jun-23,AQA,A Level,7132/3,Business ,Paper 3,Morning,2h
6/14/2023,Jun-23,AQA,A Level,7677/3,Biblical Hebrew ,Paper 3,Afternoon,2h
6/14/2023,Jun-23,AQA,A Level,7692/2,Spanish ,Paper 2,Morning,2h
6/14/2023,Jun-23,AQA,A Level,7367/3D+3M+3S,Further Mathematics,Paper 1,Afternoon,2h
6/14/2023,Jun-23,AQA,A Level,7192/3,Sociology ,Paper 3,Afternoon,2h
6/15/2023,Jun-23,AQA,Level 3,ASC3,Applied Science 3,Paper 1,Morning,1h 30m
6/15/2023,Jun-23,AQA,A Level,7672/3,Modern Hebrew ,Paper 3,Morning,2h 30m
6/15/2023,Jun-23,AQA,A Level,7682/3,Panjabi ,Paper 3,Morning,2h 30m
6/15/2023,Jun-23,AQA,A Level,7408/3,Physics ,Paper 3,Morning,2h
6/16/2023,Jun-23,AQA,A Level,7402/2,Biology ,Paper 2,Morning,2h
6/16/2023,Jun-23,AQA,A Level,7562/2,D&T: Fashion and Textiles,Paper 1,Morning,1h 30m
6/16/2023,Jun-23,AQA,A Level,7552/2,D&T: Product Design,Paper 1,Morning,1h 30m
6/16/2023,Jun-23,AQA,A Level,7662/2,German ,Paper 2,Morning,2h
6/16/2023,Jun-23,AQA,A Level,7152/3,Politics ,Paper 3,Morning,2h
6/19/2023,Jun-23,AQA,A Level,7517/2,Computer Science ,Paper 2,Morning,2h 30m
6/19/2023,Jun-23,AQA,A Level,7405/2,Chemistry ,Paper 2,Afternoon,2h
6/19/2023,Jun-23,AQA,A Level,7652/2,French ,Paper 2,Morning,2h
6/19/2023,Jun-23,AQA,A Level,7062/2A-2E,Religious Studies ,Paper 2 (options A to E),Afternoon,3h
6/20/2023,Jun-23,AQA,A Level,7357/3,Mathematics ,Paper 3,Afternoon,2h
6/21/2023,Jun-23,AQA,A Level,7402/3,Biology ,Paper 3,Morning,2h
6/22/2023,Jun-23,AQA,Level 3,ASC4,Applied Science 4,Paper 1,Morning,1h 30m
6/23/2023,Jun-23,AQA,A Level,7405/3,Chemistry ,Paper 3,Morning,2h
5/09/2023,Jun-23,CCEA,AS Level,SCH31,Chemistry, Unit 3 Practical ,Morning,1hr 15m
5/10/2023,Jun-23,CCEA,AS Level,SPH31,Physics, Unit 3 Practical ,Morning,1hr
5/11/2023,Jun-23,CCEA,A Level,ACH31,Chemistry, Unit 3 Practical ,Morning,1hr 15m
5/12/2023,Jun-23,CCEA,A Level,APH31,Physics, Unit 3 Practical ,Morning,1hr
5/12/2023,Jun-23,CCEA,AS Level,SBY11,Biology, Unit 1 ,Afternoon,1hr 30m
5/15/2023,Jun-23,CCEA,AS Level,SEC11,Economics, Unit 1 ,Morning,1hr 30m
5/15/2023,Jun-23,CCEA,AS Level,SFM11,Further Mathematics, Unit 1 ,Afternoon,1hr 30m
5/15/2023,Jun-23,CCEA,AS Level,SEP21,Spanish, Unit 2 Section A ,Morning,40m
5/15/2023,Jun-23,CCEA,AS Level,SEP22,Spanish, Unit 2 Section B & C ,Morning,1hr 20m
5/16/2023,Jun-23,CCEA,AS Level,SCH14,Chemistry, Unit 1 ,Morning,1hr 30m
5/16/2023,Jun-23,CCEA,AS Level,SDT11,Digital Technology, Unit 1 ,Afternoon,1hr 30m
5/16/2023,Jun-23,CCEA,AS Level,SMX21,Moving Image Arts, Unit 2 ,Morning,1hr 30m
5/16/2023,Jun-23,CCEA,AS Level,SGG11,Geography, Unit 1 ,Afternoon,1hr 15m
5/17/2023,Jun-23,CCEA,AS Level,SGM21,German, Unit 2 Section A ,Morning,40m
5/17/2023,Jun-23,CCEA,AS Level,SHY11,History, Unit 1 ,Afternoon,1hr 30m
5/17/2023,Jun-23,CCEA,AS Level,SGM22,German, Unit 2 Section B & C ,Morning,1hr 20m
5/17/2023,Jun-23,CCEA,AS Level,SPH11,Physics, Unit 1 ,Morning,1hr 45m
5/18/2023,Jun-23,CCEA,AS Level,SEL12,English Literature, Unit 1 ,Morning,2hrs
5/18/2023,Jun-23,CCEA,AS Level,SMT11,Mathematics, Unit 1 ,Afternoon,1hr 45m
5/18/2023,Jun-23,CCEA,AS Level,SNF11,Nutrition and Food Science, Unit 1 ,Afternoon,1hr 30m
5/19/2023,Jun-23,CCEA,AS Level,SBU11,Business Studies, Unit 1 ,Morning,1hr 30m
5/19/2023,Jun-23,CCEA,AS Level,SRE11,Religious Studies, Unit 1 ,Afternoon,1hr 20m
5/19/2023,Jun-23,CCEA,AS Level,SFR21,French, Unit 2 Section A ,Morning,40m
5/19/2023,Jun-23,CCEA,AS Level,SRE21,Religious Studies, Unit 2 ,Afternoon,1hr 20m
5/19/2023,Jun-23,CCEA,AS Level,SFR22,French, Unit 2 Sections B & C ,Morning,1hr 20m
5/19/2023,Jun-23,CCEA,AS Level,SRE31,Religious Studies, Unit 3 ,Afternoon,1hr 20m
5/19/2023,Jun-23,CCEA,AS Level,STE11,T & D Systems & Control, Unit 1 Core ,Afternoon,1hr
5/19/2023,Jun-23,CCEA,AS Level,STE12,T & D Systems & Control, Unit 1 Options ,Afternoon,1hr
5/22/2023,Jun-23,CCEA,AS Level,SEC21,Economics, Unit 2 ,Morning,1hr 30m
